date,orders,revenue,buyers,line_items,aov,orders_robust_z,revenue_robust_z,buyers_robust_z,line_items_robust_z,anomaly_flag
2026-08-04,7,84130.0,6,9,12018.57142857143,-0.44966666666666666,-0.22260726072607262,-0.5620833333333334,-0.5396,False
2026-08-05,6,67110.0,6,8,11185.0,-0.5620833333333334,-0.3988293806124798,-0.5620833333333334,-0.60705,False
2026-08-06,7,62445.0,7,8,8920.714285714286,-0.44966666666666666,-0.4471299792769975,-0.44966666666666666,-0.60705,False
2026-08-07,5,54995.0,5,6,10999.0,-0.6745,-0.5242659835751018,-0.6745,-0.74195,False
2026-08-08,35,275015.0,35,49,7857.571428571428,2.698,1.7537828306086423,2.698,2.1584,False
2026-08-09,68,524091.67,68,92,7707.230441176471,6.40775,4.332679352444546,6.40775,5.05875,True
2026-08-10,29,205590.0,29,36,7089.310344827586,2.0235,1.0349684549850335,2.0235,1.28155,False
2026-08-11,12,96330.0,12,17,8027.5,0.11241666666666666,-0.09629058254662674,0.11241666666666666,0.0,False
2026-08-12,14,114930.0,14,17,8209.285714285714,0.33725,0.09629058254662674,0.33725,0.0,False
2026-08-13,9,72810.0,9,9,8090.0,-0.22483333333333333,-0.3398125719548699,-0.22483333333333333,-0.5396,False
2026-08-14,9,76690.0,9,10,8521.111111111111,-0.22483333333333333,-0.29963972676337397,-0.22483333333333333,-0.47214999999999996,False
2026-08-15,5,48345.0,5,7,9669.0,-0.6745,-0.59311892700898,-0.6745,-0.6745,False
2026-08-16,5,43085.0,5,6,8617.0,-0.6745,-0.6475800521912657,-0.6745,-0.74195,False
2026-08-17,3,33185.0,3,4,11061.666666666666,-0.8993333333333333,-0.7500829303860618,-0.8993333333333333,-0.8768499999999999,False
2026-08-18,6,61110.0,6,7,10185.0,-0.5620833333333334,-0.4609523370941745,-0.5620833333333334,-0.6745,False
2026-08-19,5,56380.0,5,7,11276.0,-0.6745,-0.5099259344539105,-0.6745,-0.6745,False
2026-08-20,6,52585.0,6,6,8764.166666666666,-0.5620833333333334,-0.5492187044285824,-0.5620833333333334,-0.74195,False
2026-08-21,3,28145.0,3,3,9381.666666666666,-0.8993333333333333,-0.8022662138306854,-0.8993333333333333,-0.9442999999999999,False
2026-08-22,26,251150.0,26,32,9659.615384615385,1.68625,1.5066887712027017,1.68625,1.01175,False
2026-08-23,39,394495.0,39,49,10115.25641025641,3.1476666666666664,2.990857970680789,3.1476666666666664,2.1584,False
2026-08-24,19,184073.0,19,22,9688.052631578947,0.8993333333333333,0.812185179215596,0.8993333333333333,0.33725,False
2026-08-25,15,141650.0,15,18,9443.333333333334,0.44966666666666666,0.3729448154117737,0.44966666666666666,0.06745,False
2026-08-26,9,84075.0,9,10,9341.666666666666,-0.22483333333333333,-0.22317672116048815,-0.22483333333333333,-0.47214999999999996,False
2026-08-27,10,137425.0,10,18,13742.5,-0.11241666666666666,0.3291999002225804,-0.11241666666666666,0.06745,False
2026-08-28,6,60200.0,6,7,10033.333333333334,-0.5620833333333334,-0.4703743188272316,-0.5620833333333334,-0.6745,False
2026-08-29,10,95525.0,10,13,9552.5,-0.11241666666666666,-0.10462541254125413,-0.11241666666666666,-0.2698,False
2026-08-30,19,176340.0,19,23,9281.052631578947,0.8993333333333333,0.7321190421367718,0.8993333333333333,0.40469999999999995,False
2026-08-31,19,206188.0,19,25,10852.0,0.8993333333333333,1.0411600429810424,0.8993333333333333,0.5396,False
2026-09-01,19,226880.0,19,28,11941.052631578947,0.8993333333333333,1.2554014122342467,0.8993333333333333,0.74195,False
2026-09-02,23,217280.0,23,28,9446.95652173913,1.349,1.1560046818635352,1.349,0.74195,False
2026-09-03,20,180400.0,20,22,9020.0,1.01175,0.7741555760227186,1.01175,0.33725,False
2026-09-04,26,269585.0,26,33,10368.653846153846,1.68625,1.6975615549927086,1.68625,1.0792,False
2026-09-05,49,484684.0,48,59,9891.510204081633,4.271833333333333,3.9246591910353827,4.159416666666666,2.8329,True
2026-09-06,45,396075.0,45,54,8801.666666666666,3.8221666666666665,3.007217015887635,3.8221666666666665,2.49565,True
2026-09-07,17,173375.0,17,20,10198.529411764706,0.6745,0.7014199478087344,0.6745,0.20234999999999997,False
2026-09-08,6,64750.0,6,8,10791.666666666666,-0.5620833333333334,-0.42326441016194644,-0.5620833333333334,-0.60705,False
2026-09-09,16,193600.0,16,24,12100.0,0.5620833333333334,0.9108260802824468,0.5620833333333334,0.47214999999999996,False
2026-09-10,1,9950.0,1,1,9950.0,-1.1241666666666668,-0.9906540793614245,-1.1241666666666668,-1.0792,False
